MLBID,MLBNAME
592761,Caleb Smith
642086,Dominic Smith
607345,Kevan Smith
605480,Mallex Smith
475253,Justin Smoak
519295,Jake Smolinski
605483,Blake Snell
474319,Brandon Snyder
519299,Eric Sogard
500208,Yangervis Solarte
624585,Jorge Soler
647336,Mike Soroka
665742,Juan Soto
519306,Steven Souza Jr.
452655,Denard Span
605486,Cory Spangenberg
543807,George Springer
519317,Giancarlo Stanton
545358,Max Stassi
623451,Jackson Stephens
596112,Robert Stephenson
592779,Brock Stewart
455755,Chris Stewart
621514,Christin Stewart
621466,DJ Stewart
596115,Trevor Story
621381,Matt Strahm
573185,Dan Straily
544931,Stephen Strasburg
608717,Chris Stratton
548389,Ross Stripling
573186,Marcus Stroman
605498,Andrew Suarez
553993,Eugenio Suarez
491696,Jesus Sucre
572180,Andrew Susac
608718,Brent Suter
400085,Ichiro Suzuki
435559,Kurt Suzuki
621020,Dansby Swanson
572182,Darnell Sweeney
596119,Blake Swihart
592789,Noah Syndergaard
519333,Matt Szczur
592791,Jameson Taillon
547888,Masahiro Tanaka
606132,Raimel Tapia
621035,Chris Taylor
572191,Michael Taylor
527054,Julio Teheran
542513,Tomas Telis
642133,Rowdy Tellez
519346,Eric Thames
622097,Jake Thompson
572204,Trayce Thompson
605508,Charles Tilson
592808,Andrew Toles
605509,Kelby Tomlinson
650402,Gleyber Torres
591720,Ronal Torreyes
657053,Touki Toussaint
581527,Devon Travis
607752,Sam Travis
545361,Mike Trout
444432,Mark Trumbo
663656,Kyle Tucker
605512,Preston Tucker
605513,Spencer Turnbull
457759,Justin Turner
607208,Trea Turner
457708,Justin Upton
570632,Jose Urena
649966,Luis Urias
570482,Giovanny Urshela
400284,Chase Utley
642162,Pat Valaika
472528,Luis Valbuena
502143,Danny Valencia
450306,Jason Vargas
543877,Christian Vazquez
592826,Vincent Velasquez
584171,Hector Velazquez
657077,Ben Lively
434378,Justin Verlander
570799,Christian Villanueva
542340,Jonathan Villar
596129,Daniel Vogelbach
572228,Luke Voit
458015,Joey Votto
608379,Michael Wacha
642180,Tyler Wade
425794,Adam Wainwright
572233,Christian Walker
435522,Neil Walker
592836,Taijuan Walker
621493,Taylor Ward
596133,Luke Weaver
621563,Joey Wendle
554430,Zack Wheeler
643603,Tyler White
446308,Matt Wieters
658792,Aaron Wilkerson
592863,Mason Williams
607776,Mac Williamson
608384,Nick Williams
592866,Trevor Williams
435064,Bobby Wilson
458677,Justin Wilson
608385,Jesse Winker
605538,Matt Wisler
547172,Tony Wolters
543939,Kolten Wong
622072,Alex Wood
605540,Brandon Woodruff
431151,David Wright
605541,Mike Wright
642851,Austin Wynns
642232,Ryan Yarbrough
592885,Christian Yelich
455759,Chris Young
458913,Eric Young
605548,Bradley Zimmer
519455,Jordan Zimmermann
475582,Ryan Zimmerman
450314,Ben Zobrist
572287,Mike Zunino
